序号,分层,易投指数0-5,期刊全称,ISO缩写,ISSN,eISSN,2025 JIF,5年JIF,最佳JIF分区,JIF排名(主表),最佳JCI分区,主表JCI分区,JCI,最高JIF百分位,年发文量,总被引,医学相关学科,学科及分区明细,出版商,出版商分组,是否SCIE,Web of Science版本,常见OA模式,版面费参考(须官网核实),OA付费可能性,版面费查询入口,AIM作者须知检索
1,1-Q1且IF大于10,5,Nature Communications,NAT COMMUN,,2041-1723,18.1,18.9,Q1,8/140,Q1,Q1,3.47,94.6,12045.0,1166083.0,MULTIDISCIPLINARY SCIENCES,MULTIDISCIPLINARY SCIENCES(JIF Q1/JCI Q1),NATURE PORTFOLIO,Springer Nature,是,SCIE,混合/全OA,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑",中高,https://www.springernature.com/gp/open-research/journals-books/journals,https://www.google.com/search?q=Nature+Communications+aims+scope+instructions+for+authors+APC
2,1-Q1且IF大于10,5,Food Chemistry,FOOD CHEM,0308-8146,1873-7072,10.4,10.5,Q1,6/114,Q1,Q1,1.82,95.2,4189.0,289311.0,NUTRITION & DIETETICS,NUTRITION & DIETETICS(JIF Q1/JCI Q1),ELSEVIER SCI LTD,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=Food+Chemistry+aims+scope+instructions+for+authors+APC
3,1-Q1且IF大于10,5,Science Advances,SCI ADV,,2375-2548,13.9,14.8,Q1,12/140,Q1,Q1,2.79,91.8,3057.0,226461.0,MULTIDISCIPLINARY SCIENCES,MULTIDISCIPLINARY SCIENCES(JIF Q1/JCI Q1),AMER ASSOC ADVANCEMENT SCIENCE,其他,是,SCIE,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=Science+Advances+aims+scope+instructions+for+authors+APC
4,1-Q1且IF大于10,5,JAMA Network Open,JAMA NETW OPEN,2574-3805,2574-3805,11.7,11.7,Q1,12/336,Q1,Q1,3.13,96.6,1649.0,100474.0,"MEDICINE, GENERAL & INTERNAL","MEDICINE, GENERAL & INTERNAL(JIF Q1/JCI Q1)",AMER MEDICAL ASSOC,其他,是,SCIE,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=JAMA+Network+Open+aims+scope+instructions+for+authors+APC
5,1-Q1且IF大于10,5,JOURNAL OF NANOBIOTECHNOLOGY,J NANOBIOTECHNOL,,1477-3155,15.0,14.7,Q1,5/180,Q1,Q1,1.98,97.5,705.0,44212.0,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(JIF Q1/JCI Q1),BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=JOURNAL+OF+NANOBIOTECHNOLOGY+aims+scope+instructions+for+authors+APC
6,1-Q1且IF大于10,5,Journal for ImmunoTherapy of Cancer,J IMMUNOTHER CANCER,,2051-1426,11.7,12.3,Q1,9/183,Q1,Q1,2.28,95.4,558.0,38924.0,IMMUNOLOGY; ONCOLOGY,IMMUNOLOGY(JIF Q1/JCI Q1) | ONCOLOGY(JIF Q1/JCI Q1),BMJ PUBLISHING GROUP,BMJ,是,SCIE,混合/全OA,"BMJ Open约GBP 2,175；旗舰刊更高",高,https://authors.bmj.com/open-access/,https://www.google.com/search?q=Journal+for+ImmunoTherapy+of+Cancer+aims+scope+instructions+for+authors+APC
7,1-Q1且IF大于10,4,NUCLEIC ACIDS RESEARCH,NUCLEIC ACIDS RES,0305-1048,1362-4962,15.0,17.6,Q1,14/328,Q1,Q1,3.06,95.9,1375.0,318538.0,BIOCHEMISTRY & MOLECULAR BIOLOGY,BIOCHEMISTRY & MOLECULAR BIOLOGY(JIF Q1/JCI Q1),OXFORD UNIV PRESS,Oxford UP,是,SCIE,混合为主,订阅路线通常无APC；可选OA，费用因刊而异,中,https://academic.oup.com/pages/open-research/open-access,https://www.google.com/search?q=NUCLEIC+ACIDS+RESEARCH+aims+scope+instructions+for+authors+APC
8,1-Q1且IF大于10,4,NATURE,NATURE,0028-0836,1476-4687,56.1,56.7,Q1,1/140,Q1,Q1,10.84,99.6,1328.0,1053832.0,MULTIDISCIPLINARY SCIENCES,MULTIDISCIPLINARY SCIENCES(JIF Q1/JCI Q1),NATURE PORTFOLIO,Springer Nature,是,SCIE,混合/全OA,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑",中高,https://www.springernature.com/gp/open-research/journals-books/journals,https://www.google.com/search?q=NATURE+aims+scope+instructions+for+authors+APC
9,1-Q1且IF大于10,4,PHYTOMEDICINE,PHYTOMEDICINE,0944-7113,1618-095X,11.3,10.4,Q1,1/48,Q1,Q1,2.39,99.0,1303.0,45792.0,"CHEMISTRY, MEDICINAL; INTEGRATIVE & COMPLEMENTARY MEDICINE; PHARMACOLOGY & PHARMACY","CHEMISTRY, MEDICINAL(JIF Q1/JCI Q1) | INTEGRATIVE & COMPLEMENTARY MEDICINE(JIF Q1/JCI Q1) | PHARMACOLOGY & PHARMACY(JIF Q1/JCI Q1)",ELSEVIER GMBH,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=PHYTOMEDICINE+aims+scope+instructions+for+authors+APC
10,1-Q1且IF大于10,4,Materials Today Bio,MATER TODAY BIO,2590-0064,2590-0064,11.0,11.4,Q1,12/130,Q1,Q1,1.83,91.2,1199.0,18290.0,"ENGINEERING, BIOMEDICAL; MATERIALS SCIENCE, BIOMATERIALS","ENGINEERING, BIOMEDICAL(JIF Q1/JCI Q1) | MATERIALS SCIENCE, BIOMATERIALS(JIF Q1/JCI Q1)",ELSEVIER,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=Materials+Today+Bio+aims+scope+instructions+for+authors+APC
